Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Performance,Experience,Status,Work_Mode,Salary,Year,Country,City,Age,Job_Level
EMP0743523,Miss Anne Barnett,Sales,Sales Executive,2025-10-29,Excellent,1,Active,On-site,55701.0,2025,United Kingdom,Leeds,21,Junior
EMP1498909,Diane du Prévost,Sales,Regional Lead,2020-07-02,Satisfactory,11,Active,Remote,172205.0,2020,France,Toulouse,33,Senior
EMP0361577,Lydia van der Dussen,IT,Software Developer,2017-01-18,Satisfactory,8,Active,Hybrid,101838.0,2017,Germany,Frankfurt,37,Mid
EMP1826092,Victoriano Hernández Río,Sales,Sales Director,2021-10-25,Excellent,6,Active,On-site,96012.0,2021,Spain,Bilbao,33,Mid
EMP1495698,Hartmut Steinberg,Operations,Operations Manager,2018-09-22,Good,7,Active,On-site,87770.0,2018,Germany,Munich,34,Mid
EMP1748108,Dr Graeme Taylor,Operations,Logistics,2013-03-02,Satisfactory,7,Resigned,On-site,69911.0,2013,United Kingdom,Leeds,31,Mid
EMP0604440,Mrs Denise Hale,Operations,Operations Analyst,2019-09-08,Excellent,4,Active,On-site,85678.0,2019,United Kingdom,Leeds,28,Mid
EMP1570317,Yasemin Wagner,Sales,Sales Executive,2020-12-16,Good,8,Active,Remote,75468.0,2020,Germany,Frankfurt,30,Mid
EMP1961413,Gaja Kusmider,Operations,Logistics,2013-05-22,Good,7,Active,Remote,82881.0,2013,Poland,Krakow,29,Mid
EMP0716577,Rosie Smart,Sales,Business Development,2019-04-29,Good,8,Active,Hybrid,82513.0,2019,United Kingdom,London,35,Mid
EMP1174928,Linda Jones,Finance,CFO,2017-08-13,Good,4,Active,Remote,81173.0,2017,United Kingdom,Manchester,25,Mid
EMP1768595,Brian Perry,Sales,Regional Lead,2017-04-02,Good,13,Active,On-site,161180.0,2017,United Kingdom,Edinburgh,36,Senior
EMP0285330,Mohammed Cooper,Sales,Regional Lead,2024-05-16,Good,3,Active,On-site,50483.0,2024,United Kingdom,London,25,Junior
EMP1523952,Mark Dobes B.Sc.,Finance,Finance Manager,2019-05-08,Good,1,Active,Hybrid,43256.0,2019,Germany,Munich,23,Junior
EMP1237137,Josette-Danielle Leleu,Sales,Sales Director,2021-06-23,Needs Improvement,8,Terminated,Remote,80363.0,2021,France,Marseille,34,Mid
EMP1319728,Dawn Ward,HR,HR Manager,2012-03-29,Good,15,Active,On-site,123780.0,2012,United Kingdom,Manchester,43,Senior
EMP0839680,Abel Kuiper,Sales,Sales Director,2022-11-22,Satisfactory,5,Active,On-site,97863.0,2022,Netherlands,Amsterdam,33,Mid
EMP0713552,Sandra Interminei,IT,IT Manager,2012-10-15,Needs Improvement,13,Active,Hybrid,160649.0,2012,Italy,Rome,42,Senior
EMP0981412,Guy Aubert,Finance,Finance Manager,2025-03-15,Excellent,3,Active,Remote,54303.0,2025,France,Nice,30,Junior
EMP1908578,Timothée de Potier,HR,Recruiter,2019-12-04,Excellent,5,Active,Remote,79565.0,2019,France,Toulouse,26,Mid
EMP0021057,Jason van den Pol,Sales,Regional Lead,2022-07-07,Satisfactory,11,Active,On-site,132159.0,2022,Netherlands,Utrecht,38,Senior
EMP1147262,Hans-Karl Junk,IT,DevOps Engineer,2022-10-15,Satisfactory,7,Active,Remote,95714.0,2022,Germany,Cologne,34,Mid
EMP0896977,Janet Wood-Ahmed,HR,HR Coordinator,2025-01-02,Good,4,Active,On-site,73071.0,2025,United Kingdom,London,30,Mid
EMP0261637,Françoise Laine,Sales,Sales Director,2022-03-03,Satisfactory,0,Resigned,On-site,50772.0,2022,France,Toulouse,21,Junior
EMP1734535,Coriolano Toscanini,Sales,Sales Manager,2020-02-27,Excellent,11,Active,On-site,135718.0,2020,Italy,Milan,37,Senior
EMP1979047,Dr Katy Martin,IT,IT Manager,2021-01-31,Satisfactory,11,Active,Remote,138231.0,2021,United Kingdom,Manchester,38,Senior
EMP0931929,Giorgio Lucchesi,Finance,Tax Specialist,2009-03-30,Excellent,6,Active,On-site,106178.0,2009,Italy,Turin,38,Mid
EMP0266613,Victor Humbert du Dupont,Sales,Sales Executive,2023-07-28,Good,3,Active,Hybrid,46831.0,2023,France,Lyon,28,Junior
EMP0891093,Lucy Mosley-le Guellec,Operations,Operations Analyst,2023-10-30,Good,2,Active,On-site,50940.0,2023,Netherlands,The Hague,25,Junior
EMP1686733,Iván Clemente Otero Piñol,Sales,Sales Director,2023-11-14,Excellent,5,Resigned,Remote,89048.0,2023,Spain,Madrid,31,Mid
EMP0294775,Marcia Custodia Núñez Cañellas,IT,Data Engineer,2019-01-04,Excellent,18,Active,On-site,208598.0,2019,Spain,Seville,43,Director
EMP1639786,Carl-Heinz Schulz,Finance,Accountant,2021-11-03,Good,4,Active,On-site,91226.0,2021,Germany,Berlin,28,Mid
